judul,rating,genre,poster_url,musim_tayang,jenis_tayangan,sinopsis,studio,fitur
Watashi no Ashinaga Ojisan,7.7,"Comedy, Romance, Historical, School",https://cdn.myanimelist.net/images/anime/1969/98819.jpg,Winter 1990,TV,"Daddy Long Legs is based on the novel of the same name by Jean Webster. It chronicles the adventures of Judy Abbott, an orphan in New York. During a meeting for the superintendent, with other important and rich people in attendance, a scholarship is offered to Judy by a mysterious benefactor. Catching only a glimpse of his tall shadow as he leaves, Judy calls him ""Daddy Long Legs"" and writes him letters every month as per his request. While studying at the Lincoln Memorial school, she makes many friends and learns about a world she never knew about before. 

(Source: ANN)",Nippon Animation,daddi long leg base novel name jean webster chronicl adventur judi abbott orphan new york meet superintend import rich peopl attend scholarship offer judi mysteri benefactor catch glimps tall shadow leav judi call daddi long leg write letter everi month per request studi lincoln memori school make mani friend learn world never knew sourc ann comedi romanc histor school nippon anim tv
Kyattou Ninden Teyandee,7.03,"Comedy, Sci-Fi, Anthropomorphic, Mecha, Super Power",https://cdn.myanimelist.net/images/anime/1380/100202.jpg,Winter 1990,TV,"In the city of Edoropolis, hundreds of mechanical animals live in harmony alongside each other. However, when Lord Wanko discovers that the shogun's chief advisor, Lord Korn, is plotting to take over the government, he knows that something must be done to preserve the peace. In order to thwart Korn's plans, Wanko forms the Nyankees—an elite ninja team led by the fearless Yattarou, who wields the mystic sword Masamasa. With all this power, the Nyankees seem unstoppable!

But Korn's schemes are not the only thing the team has to worry about. Secretly based out of the popular Pizza Cats restaurant, the Nyankees must keep their operations hidden while delivering piping-hot plates of pizza and justice.

[Written by MAL Rewrite]",Tatsunoko Production,citi edoropoli hundr mechan anim live harmoni alongsid howev lord wanko discov shogun chief advisor lord korn plot take govern know someth must done preserv peac order thwart korn plan wanko form nyanke elit ninja team led fearless yattar wield mystic sword masamasa power nyanke seem unstopp korn scheme thing team worri secretli base popular pizza cat restaur nyanke must keep oper hidden deliv pipe hot plate pizza justic written mal rewrit comedi sci fi anthropomorph mecha super power tatsunoko product tv
Chibi Maruko-chan,7.66,Comedy,https://cdn.myanimelist.net/images/anime/1760/145402.jpg,Winter 1990,TV,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. 

(Source: ANN)",Nippon Animation,momoko sakura elementari school student like popular idol momo yamaguchi manga often call chibi maruko chan due young age small size live togeth parent grandpar elder sister littl town school mani friend studi play togeth everyday includ close pal tama chan student committe member maruo kun migiwa san b class trio littl master hanawa kun hamaji bu taro sekiguchi kun fun love enjoy anim portray simpl thing life sourc ann comedi nippon anim tv
Dragon Quest: Yuusha Abel Densetsu,6.85,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1270/114210.jpg,Winter 1990,TV,"Dragon Quest is loosely based on Dragon Quest III. The names and some of the characters are familar, but the world map is smaller and a very different shape. The two main characters are Abel and Tialah. Tialah receives the legendary Red Stone from the Aliahan Village sage Master Yogi. Soon after, Tialah is kidnapped by the evil Baramos who wants to use the Red Stone to resurrect The Great Dragon and be granted eternal life. Abel swore to rescue Tialah and he is given the Blue Stone, which can only seal the Dragon once it has been released. 

(Source: AniDB)","Studio Pierrot, Studio Comet",dragon quest loos base dragon quest iii name charact familar world map smaller differ shape two main charact abel tialah tialah receiv legendari red stone aliahan villag sage master yogi soon tialah kidnap evil baramo want use red stone resurrect great dragon grant etern life abel swore rescu tialah given blue stone seal dragon releas sourc anidb action adventur fantasi studio pierrot studio comet tv
Yuusha Exkaiser,6.65,Sci-Fi,https://cdn.myanimelist.net/images/anime/1471/92206.jpg,Winter 1990,TV,"When aliens plan to invade Earth, a young boy named Kouta must team up with a giant robot from outer space, Exkaiser, in order to save the world and his friends.",Sunrise,alien plan invad earth young boy name kouta must team giant robot outer space exkais order save world friend sci fi sunris tv
Heisei Tensai Bakabon,6.02,"Comedy, Slice of Life",https://cdn.myanimelist.net/images/anime/10/60843.jpg,Winter 1990,TV,"A comedy about a former genius who has now become very eccentric and senile. His family deals with all the crazy problems he and his old friends cause around the neighborhood.

(Source: AniDB)",Studio Pierrot,comedi former geniu becom eccentr senil famili deal crazi problem old friend caus around neighborhood sourc anidb comedi slice life studio pierrot tv
Tsuruhime Ja!,5.93,"Comedy, Slice of Life",https://cdn.myanimelist.net/images/anime/8/72389.jpg,Winter 1990,TV,"No synopsis has been added for this series yet.

Click here to update this information.","Madhouse, Aubec",synopsi ad seri yet click updat inform comedi slice life madhous aubec tv
Dragon Ball Z,8.2,"Action, Adventure, Comedy, Fantasy",https://cdn.myanimelist.net/images/anime/1277/142022.jpg,Winter 1990,TV,"Five years after winning the World Martial Arts tournament, Gokuu is now living a peaceful life with his wife and son. This changes, however, with the arrival of a mysterious enemy named Raditz who presents himself as Gokuu's long-lost brother. He reveals that Gokuu is a descendant of the once powerful but now virtually extinct Saiyan race, whose homeworld was annihilated. When he was sent to Earth as a baby, Gokuu's sole purpose was to conquer and destroy the planet; but after suffering amnesia from a head injury, his violent and savage nature changed, and instead was raised as a kind and well-mannered boy, now fighting to protect others.

With his failed attempt at forcibly recruiting Gokuu as an ally, Raditz warns Gokuu's friends of a new threat that's rapidly approaching Earth—one that could plunge Earth into an intergalactic conflict and cause the heavens themselves to shake. A war will soon be fought over the seven mystical Dragon Balls, magic objects that can grant any wish. Only the strongest will survive.

[Written by MAL Rewrite]",Toei Animation,five year win world martial art tournament gokuu live peac life wife son chang howev arriv mysteri enemi name raditz present gokuu long lost brother reveal gokuu descend power virtual extinct saiyan race whose homeworld annihil sent earth babi gokuu sole purpos conquer destroy planet suffer amnesia head injuri violent savag natur chang instead rais kind well manner boy fight protect other fail attempt forcibl recruit gokuu alli raditz warn gokuu friend new threat rapidli approach earth one could plung earth intergalact conflict caus heaven shake war soon fought seven mystic dragon ball magic object grant wish strongest surviv written mal rewrit action adventur comedi fantasi toei anim tv
Ranma ½,7.77,"Action, Comedy, Romance, Ecchi, Magical Sex Shift, Martial Arts, School",https://cdn.myanimelist.net/images/anime/13/6441.jpg,Winter 1990,TV,"Ranma Saotome is a top-class martial artist and prodigy at the Saotome ""Anything-Goes"" school of martial arts. While training in China, he and his father meet a terrible fate when they accidentally fall into a cursed spring. Now, Ranma is cursed to turn into a girl when splashed with cold water, and only hot water can turn him back into a boy.

Things are only complicated further when Ranma discovers that his father has arranged for him to marry one of Soun Tendo's three daughters in order to secure the future of the Tendo dojo. Though Soun learns of Ranma's predicament, he is still determined to go ahead with the engagement, and chooses his youngest daughter Akane, who happens to be a skilled martial artist herself and is notorious for hating men.

Ranma ½ follows the hilarious adventures of Ranma and Akane as they encounter various opponents, meet new love interests, and find different ways to make each other angry, all while their engagement hangs over their head.

[Written by MAL Rewrite]",Studio Deen,ranma saotom top class martial artist prodigi saotom anyth goe school martial art train china father meet terribl fate accident fall curs spring ranma curs turn girl splash cold water hot water turn back boy thing complic ranma discov father arrang marri one soun tendo three daughter order secur futur tendo dojo though soun learn ranma predica still determin go ahead engag choos youngest daughter akan happen skill martial artist notori hate men ranma ½ follow hilari adventur ranma akan encount variou oppon meet new love interest find differ way make angri engag hang head written mal rewrit action comedi romanc ecchi magic sex shift martial art school studio deen tv
Doraemon (1979),7.88,"Adventure, Comedy, Fantasy, Sci-Fi",https://cdn.myanimelist.net/images/anime/3/3953.jpg,Winter 1990,TV,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school.

To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is?

[Written by MAL Rewrite]",Shin-Ei Animation,nobita nobi normal fourth grade student chang howev blue robot cat appear desk drawer call doraemon robot tell nobita futur descend 22nd centuri live poverti mistak made therefor sent doraemon serv guid mentor nobita futur may chang better doraemon come learn though nobita weakest laziest student whole school assist quest doraemon four dimension pocket keep variou machin gadget futur unfortun often result even troubl nobita doraemon realli abl achiev mission chang nobita remain written mal rewrit adventur comedi fantasi sci fi shin ei anim tv
