judul,rating,genre,poster_url,musim_tayang,jenis_tayangan,sinopsis,studio,sinopsis_final
Watashi no Ashinaga Ojisan,7.7,"Comedy, Romance, Historical, School",https://cdn.myanimelist.net/images/anime/1969/98819.jpg,Winter 1990,TV,"Daddy Long Legs is based on the novel of the same name by Jean Webster. It chronicles the adventures of Judy Abbott, an orphan in New York. During a meeting for the superintendent, with other important and rich people in attendance, a scholarship is offered to Judy by a mysterious benefactor. Catching only a glimpse of his tall shadow as he leaves, Judy calls him ""Daddy Long Legs"" and writes him letters every month as per his request. While studying at the Lincoln Memorial school, she makes many friends and learns about a world she never knew about before. 

(Source: ANN)",Nippon Animation,daddy long legs is based on the novel of the same name by jean webster it chronicles the adventures of judy abbott an orphan in new york during a meeting for the superintendent with other important and rich people in attendance a scholarship is offered to judy by a mysterious benefactor catching only a glimpse of his tall shadow as he leaves judy calls him daddy long legs and writes him letters every month as per his request while studying at the lincoln memorial school she makes many friends and learns about a world she never knew about before source ann
Kyattou Ninden Teyandee,7.03,"Comedy, Sci-Fi, Anthropomorphic, Mecha, Super Power",https://cdn.myanimelist.net/images/anime/1380/100202.jpg,Winter 1990,TV,"In the city of Edoropolis, hundreds of mechanical animals live in harmony alongside each other. However, when Lord Wanko discovers that the shogun's chief advisor, Lord Korn, is plotting to take over the government, he knows that something must be done to preserve the peace. In order to thwart Korn's plans, Wanko forms the Nyankees—an elite ninja team led by the fearless Yattarou, who wields the mystic sword Masamasa. With all this power, the Nyankees seem unstoppable!

But Korn's schemes are not the only thing the team has to worry about. Secretly based out of the popular Pizza Cats restaurant, the Nyankees must keep their operations hidden while delivering piping-hot plates of pizza and justice.

[Written by MAL Rewrite]",Tatsunoko Production,in the city of edoropolis hundreds of mechanical animals live in harmony alongside each other however when lord wanko discovers that the shoguns chief advisor lord korn is plotting to take over the government he knows that something must be done to preserve the peace in order to thwart korns plans wanko forms the nyankees an elite ninja team led by the fearless yattarou who wields the mystic sword masamasa with all this power the nyankees seem unstoppable but korns schemes are not the only thing the team has to worry about secretly based out of the popular pizza cats restaurant the nyankees must keep their operations hidden while delivering pipinghot plates of pizza and justice written by mal rewrite
Chibi Maruko-chan,7.66,Comedy,https://cdn.myanimelist.net/images/anime/1760/145402.jpg,Winter 1990,TV,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. 

(Source: ANN)",Nippon Animation,momoko sakura is an elementary school student who likes popular idol momoe yamaguchi and mangas she is often called chibi marukochan due to her young age and small size she lives together with her parents her grandparents and her elder sister in a little town in school she has many friends with whom she studies and plays together everyday including her close pal tamachan the student committee members maruokun and migiwasan and the bclass trio little master hanawakun hamajibu taro and sekiguchikun this is a funloving and enjoyable anime that portrays the simple things in life source ann
Dragon Quest: Yuusha Abel Densetsu,6.85,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1270/114210.jpg,Winter 1990,TV,"Dragon Quest is loosely based on Dragon Quest III. The names and some of the characters are familar, but the world map is smaller and a very different shape. The two main characters are Abel and Tialah. Tialah receives the legendary Red Stone from the Aliahan Village sage Master Yogi. Soon after, Tialah is kidnapped by the evil Baramos who wants to use the Red Stone to resurrect The Great Dragon and be granted eternal life. Abel swore to rescue Tialah and he is given the Blue Stone, which can only seal the Dragon once it has been released. 

(Source: AniDB)","Studio Pierrot, Studio Comet",dragon quest is loosely based on dragon quest iii the names and some of the characters are familar but the world map is smaller and a very different shape the two main characters are abel and tialah tialah receives the legendary red stone from the aliahan village sage master yogi soon after tialah is kidnapped by the evil baramos who wants to use the red stone to resurrect the great dragon and be granted eternal life abel swore to rescue tialah and he is given the blue stone which can only seal the dragon once it has been released source anidb
Yuusha Exkaiser,6.65,Sci-Fi,https://cdn.myanimelist.net/images/anime/1471/92206.jpg,Winter 1990,TV,"When aliens plan to invade Earth, a young boy named Kouta must team up with a giant robot from outer space, Exkaiser, in order to save the world and his friends.",Sunrise,when aliens plan to invade earth a young boy named kouta must team up with a giant robot from outer space exkaiser in order to save the world and his friends
Heisei Tensai Bakabon,6.02,"Comedy, Slice of Life",https://cdn.myanimelist.net/images/anime/10/60843.jpg,Winter 1990,TV,"A comedy about a former genius who has now become very eccentric and senile. His family deals with all the crazy problems he and his old friends cause around the neighborhood.

(Source: AniDB)",Studio Pierrot,a comedy about a former genius who has now become very eccentric and senile his family deals with all the crazy problems he and his old friends cause around the neighborhood source anidb
Tsuruhime Ja!,5.93,"Comedy, Slice of Life",https://cdn.myanimelist.net/images/anime/8/72389.jpg,Winter 1990,TV,"No synopsis has been added for this series yet.

Click here to update this information.","Madhouse, Aubec",no synopsis has been added for this series yet click here to update this information
Dragon Ball Z,8.2,"Action, Adventure, Comedy, Fantasy",https://cdn.myanimelist.net/images/anime/1277/142022.jpg,Winter 1990,TV,"Five years after winning the World Martial Arts tournament, Gokuu is now living a peaceful life with his wife and son. This changes, however, with the arrival of a mysterious enemy named Raditz who presents himself as Gokuu's long-lost brother. He reveals that Gokuu is a descendant of the once powerful but now virtually extinct Saiyan race, whose homeworld was annihilated. When he was sent to Earth as a baby, Gokuu's sole purpose was to conquer and destroy the planet; but after suffering amnesia from a head injury, his violent and savage nature changed, and instead was raised as a kind and well-mannered boy, now fighting to protect others.

With his failed attempt at forcibly recruiting Gokuu as an ally, Raditz warns Gokuu's friends of a new threat that's rapidly approaching Earth—one that could plunge Earth into an intergalactic conflict and cause the heavens themselves to shake. A war will soon be fought over the seven mystical Dragon Balls, magic objects that can grant any wish. Only the strongest will survive.

[Written by MAL Rewrite]",Toei Animation,five years after winning the world martial arts tournament gokuu is now living a peaceful life with his wife and son this changes however with the arrival of a mysterious enemy named raditz who presents himself as gokuus longlost brother he reveals that gokuu is a descendant of the once powerful but now virtually extinct saiyan race whose homeworld was annihilated when he was sent to earth as a baby gokuus sole purpose was to conquer and destroy the planet but after suffering amnesia from a head injury his violent and savage nature changed and instead was raised as a kind and wellmannered boy now fighting to protect others with his failed attempt at forcibly recruiting gokuu as an ally raditz warns gokuus friends of a new threat thats rapidly approaching earth one that could plunge earth into an intergalactic conflict and cause the heavens themselves to shake a war will soon be fought over the seven mystical dragon balls magic objects that can grant any wish only the strongest will survive written by mal rewrite
Ranma ½,7.77,"Action, Comedy, Romance, Ecchi, Magical Sex Shift, Martial Arts, School",https://cdn.myanimelist.net/images/anime/13/6441.jpg,Winter 1990,TV,"Ranma Saotome is a top-class martial artist and prodigy at the Saotome ""Anything-Goes"" school of martial arts. While training in China, he and his father meet a terrible fate when they accidentally fall into a cursed spring. Now, Ranma is cursed to turn into a girl when splashed with cold water, and only hot water can turn him back into a boy.

Things are only complicated further when Ranma discovers that his father has arranged for him to marry one of Soun Tendo's three daughters in order to secure the future of the Tendo dojo. Though Soun learns of Ranma's predicament, he is still determined to go ahead with the engagement, and chooses his youngest daughter Akane, who happens to be a skilled martial artist herself and is notorious for hating men.

Ranma ½ follows the hilarious adventures of Ranma and Akane as they encounter various opponents, meet new love interests, and find different ways to make each other angry, all while their engagement hangs over their head.

[Written by MAL Rewrite]",Studio Deen,ranma saotome is a topclass martial artist and prodigy at the saotome anythinggoes school of martial arts while training in china he and his father meet a terrible fate when they accidentally fall into a cursed spring now ranma is cursed to turn into a girl when splashed with cold water and only hot water can turn him back into a boy things are only complicated further when ranma discovers that his father has arranged for him to marry one of soun tendos three daughters in order to secure the future of the tendo dojo though soun learns of ranmas predicament he is still determined to go ahead with the engagement and chooses his youngest daughter akane who happens to be a skilled martial artist herself and is notorious for hating men ranma  follows the hilarious adventures of ranma and akane as they encounter various opponents meet new love interests and find different ways to make each other angry all while their engagement hangs over their head written by mal rewrite
Doraemon (1979),7.88,"Adventure, Comedy, Fantasy, Sci-Fi",https://cdn.myanimelist.net/images/anime/3/3953.jpg,Winter 1990,TV,"Nobita Nobi is a normal fourth grade student. This all changes, however, when a blue robotic cat appears from his desk drawer. Calling himself Doraemon, this robot tells Nobita that his future descendants from the 22nd century live in poverty because of all the mistakes he made. Therefore, they have sent Doraemon to serve as a guide and mentor to Nobita, so that their future may change for the better. What Doraemon comes to learn, though, is that Nobita is the weakest and laziest student in the whole school.

To assist in his quest, Doraemon has a four-dimensional pocket with him, in which he keeps various machines and gadgets from the future. Unfortunately, these often result in even more trouble for Nobita. Will Doraemon really be able to achieve his mission of changing Nobita, or will he remain as he is?

[Written by MAL Rewrite]",Shin-Ei Animation,nobita nobi is a normal fourth grade student this all changes however when a blue robotic cat appears from his desk drawer calling himself doraemon this robot tells nobita that his future descendants from the nd century live in poverty because of all the mistakes he made therefore they have sent doraemon to serve as a guide and mentor to nobita so that their future may change for the better what doraemon comes to learn though is that nobita is the weakest and laziest student in the whole school to assist in his quest doraemon has a fourdimensional pocket with him in which he keeps various machines and gadgets from the future unfortunately these often result in even more trouble for nobita will doraemon really be able to achieve his mission of changing nobita or will he remain as he is written by mal rewrite
